Book,Author,Amount,Price,Book1,Author1,Amount1,Price1,Book2,Author2,Amount2,Price2,Book3,Author3,Amount3,Price3,Book4,Author4,Amount4,Price4
The 7 Habits of Highly Effective People,Stephen R. Covey,"0,6303030303",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"0,6303030303",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"0,6303030303",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"0,6303030303",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"0,6303030303",23.50
The Miracle Morning,Hal Elrod,"0,4363636364",21.36,The Miracle Morning,Hal Elrod,"0,4363636364",21.36,The Miracle Morning,Hal Elrod,"0,4363636364",21.36,The Miracle Morning,Hal Elrod,"0,4363636364",21.36,The Miracle Morning,Hal Elrod,"0,4363636364",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"0,2424242424",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"0,2424242424",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"0,2424242424",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"0,2424242424",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"0,2424242424",12.101
The ONE Thing,Gary Keller,"0,04848484848",11.20,The ONE Thing,Gary Keller,"0,04848484848",11.20,The ONE Thing,Gary Keller,"0,04848484848",11.20,The ONE Thing,Gary Keller,"0,04848484848",11.20,The ONE Thing,Gary Keller,"0,04848484848",11.20
The Compound Effect,Darren Hardy,"-0,1454545455",9.51,The Compound Effect,Darren Hardy,"-0,1454545455",9.51,The Compound Effect,Darren Hardy,"-0,1454545455",9.51,The Compound Effect,Darren Hardy,"-0,1454545455",9.51,The Compound Effect,Darren Hardy,"-0,1454545455",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-0,3393939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-0,3393939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-0,3393939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-0,3393939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-0,3393939394",23.51
The Miracle Morning,Hal Elrod,"-0,5333333333",21.37,The Miracle Morning,Hal Elrod,"-0,5333333333",21.37,The Miracle Morning,Hal Elrod,"-0,5333333333",21.37,The Miracle Morning,Hal Elrod,"-0,5333333333",21.37,The Miracle Morning,Hal Elrod,"-0,5333333333",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-0,7272727273",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-0,7272727273",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-0,7272727273",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-0,7272727273",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-0,7272727273",12.102
The Compound Effect,Darren Hardy,"-0,9212121212",9.49,The Compound Effect,Darren Hardy,"-0,9212121212",9.49,The Compound Effect,Darren Hardy,"-0,9212121212",9.49,The Compound Effect,Darren Hardy,"-0,9212121212",9.49,The Compound Effect,Darren Hardy,"-0,9212121212",9.49
The 7 Habits of Highly Effective People,Stephen R. Covey,"-1,115151515",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-1,115151515",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-1,115151515",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-1,115151515",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-1,115151515",23.49
The Miracle Morning,Hal Elrod,"-1,309090909",21.35,The Miracle Morning,Hal Elrod,"-1,309090909",21.35,The Miracle Morning,Hal Elrod,"-1,309090909",21.35,The Miracle Morning,Hal Elrod,"-1,309090909",21.35,The Miracle Morning,Hal Elrod,"-1,309090909",21.35
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-1,503030303",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-1,503030303",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-1,503030303",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-1,503030303",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-1,503030303",12.100
The ONE Thing,Gary Keller,"-1,696969697",11.19,The ONE Thing,Gary Keller,"-1,696969697",11.19,The ONE Thing,Gary Keller,"-1,696969697",11.19,The ONE Thing,Gary Keller,"-1,696969697",11.19,The ONE Thing,Gary Keller,"-1,696969697",11.19
The Compound Effect,Darren Hardy,"-1,890909091",9.49,The Compound Effect,Darren Hardy,"-1,890909091",9.49,The Compound Effect,Darren Hardy,"-1,890909091",9.49,The Compound Effect,Darren Hardy,"-1,890909091",9.49,The Compound Effect,Darren Hardy,"-1,890909091",9.49
The 7 Habits of Highly Effective People,Stephen R. Covey,"-2,084848485",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-2,084848485",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-2,084848485",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-2,084848485",23.49,The 7 Habits of Highly Effective People,Stephen R. Covey,"-2,084848485",23.49
The Miracle Morning,Hal Elrod,"-2,278787879",21.35,The Miracle Morning,Hal Elrod,"-2,278787879",21.35,The Miracle Morning,Hal Elrod,"-2,278787879",21.35,The Miracle Morning,Hal Elrod,"-2,278787879",21.35,The Miracle Morning,Hal Elrod,"-2,278787879",21.35
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-2,472727273",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-2,472727273",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-2,472727273",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-2,472727273",12.100,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-2,472727273",12.100
The ONE Thing,Gary Keller,"-2,666666667",11.19,The ONE Thing,Gary Keller,"-2,666666667",11.19,The ONE Thing,Gary Keller,"-2,666666667",11.19,The ONE Thing,Gary Keller,"-2,666666667",11.19,The ONE Thing,Gary Keller,"-2,666666667",11.19
The Compound Effect,Darren Hardy,"-2,860606061",9.50,The Compound Effect,Darren Hardy,"-2,860606061",9.50,The Compound Effect,Darren Hardy,"-2,860606061",9.50,The Compound Effect,Darren Hardy,"-2,860606061",9.50,The Compound Effect,Darren Hardy,"-2,860606061",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-3,054545455",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-3,054545455",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-3,054545455",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-3,054545455",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-3,054545455",23.50
The Miracle Morning,Hal Elrod,"-3,248484848",21.36,The Miracle Morning,Hal Elrod,"-3,248484848",21.36,The Miracle Morning,Hal Elrod,"-3,248484848",21.36,The Miracle Morning,Hal Elrod,"-3,248484848",21.36,The Miracle Morning,Hal Elrod,"-3,248484848",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-3,442424242",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-3,442424242",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-3,442424242",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-3,442424242",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-3,442424242",12.101
The ONE Thing,Gary Keller,"-3,636363636",11.20,The ONE Thing,Gary Keller,"-3,636363636",11.20,The ONE Thing,Gary Keller,"-3,636363636",11.20,The ONE Thing,Gary Keller,"-3,636363636",11.20,The ONE Thing,Gary Keller,"-3,636363636",11.20
The Compound Effect,Darren Hardy,"-3,83030303",9.50,The Compound Effect,Darren Hardy,"-3,83030303",9.50,The Compound Effect,Darren Hardy,"-3,83030303",9.50,The Compound Effect,Darren Hardy,"-3,83030303",9.50,The Compound Effect,Darren Hardy,"-3,83030303",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,024242424",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,024242424",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,024242424",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,024242424",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,024242424",23.50
The Miracle Morning,Hal Elrod,"-4,218181818",21.36,The Miracle Morning,Hal Elrod,"-4,218181818",21.36,The Miracle Morning,Hal Elrod,"-4,218181818",21.36,The Miracle Morning,Hal Elrod,"-4,218181818",21.36,The Miracle Morning,Hal Elrod,"-4,218181818",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-4,412121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-4,412121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-4,412121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-4,412121212",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-4,412121212",12.101
The ONE Thing,Gary Keller,"-4,606060606",11.20,The ONE Thing,Gary Keller,"-4,606060606",11.20,The ONE Thing,Gary Keller,"-4,606060606",11.20,The ONE Thing,Gary Keller,"-4,606060606",11.20,The ONE Thing,Gary Keller,"-4,606060606",11.20
The Compound Effect,Darren Hardy,"-4,8",9.51,The Compound Effect,Darren Hardy,"-4,8",9.51,The Compound Effect,Darren Hardy,"-4,8",9.51,The Compound Effect,Darren Hardy,"-4,8",9.51,The Compound Effect,Darren Hardy,"-4,8",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,993939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,993939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,993939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,993939394",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-4,993939394",23.51
The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37,The Miracle Morning,Hal Elrod,"-5,187878788",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-5,381818182",12.102
The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21,The ONE Thing,Gary Keller,"-5,575757576",11.21
The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51,The Compound Effect,Darren Hardy,"-5,76969697",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-5,963636364",23.51
The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37,The Miracle Morning,Hal Elrod,"-6,157575758",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-6,351515152",12.102
The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21,The ONE Thing,Gary Keller,"-6,545454545",11.21
The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52,The Compound Effect,Darren Hardy,"-6,739393939",9.52
The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52,The 7 Habits of Highly Effective People,Stephen R. Covey,"-6,933333333",23.52
The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38,The Miracle Morning,Hal Elrod,"-7,127272727",21.38
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-7,321212121",12.103
The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50,The Compound Effect,Darren Hardy,"-7,515151515",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-7,709090909",23.50
The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36,The Miracle Morning,Hal Elrod,"-7,903030303",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-8,096969697",12.101
The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20,The ONE Thing,Gary Keller,"-8,290909091",11.20
The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50,The Compound Effect,Darren Hardy,"-8,484848485",9.50
The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50,The 7 Habits of Highly Effective People,Stephen R. Covey,"-8,678787879",23.50
The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36,The Miracle Morning,Hal Elrod,"-8,872727273",21.36
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-9,066666667",12.101
The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20,The ONE Thing,Gary Keller,"-9,260606061",11.20
The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51,The Compound Effect,Darren Hardy,"-9,454545455",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-9,648484848",23.51
The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37,The Miracle Morning,Hal Elrod,"-9,842424242",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-10,03636364",12.102
The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21,The ONE Thing,Gary Keller,"-10,23030303",11.21
The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51,The Compound Effect,Darren Hardy,"-10,42424242",9.51
The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51,The 7 Habits of Highly Effective People,Stephen R. Covey,"-10,61818182",23.51
The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37,The Miracle Morning,Hal Elrod,"-10,81212121",21.37
Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102,Influence: The Psychology of Persuasion,Robert B. Cialdini,"-11,00606061",12.102
